farm;EBIT;N_reduction;farmN;NLRedFSM;NLRedEoFM;P_reduction;farmP;PLRedFSM;PLRedEoFM;SOLVER;FEASIBILITY
WA30;0.0;0.9;719.3689611849858;6474.320650664875;0.0;0.7;101.30787675969978;236.38504577263276;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA31;0.0;0.9000000000000002;10.596591934631073;95.36932741167993;0.0;0.7000000000000001;4.4511396608978995;10.3859925420951;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA32;0.0;0.9;378.08186980291794;3402.7368282262623;0.0;0.7;40.07023871801401;93.49722367536602;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA33;0.0;0.8999999999999999;686.1039598706067;6174.935638835455;0.0;0.6999999999999998;96.20034053097902;224.46746123895088;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA34;146647.92355354875;0.046941930913568075;6217.4559066241345;0.0;306.2346304949419;0.30219835588769356;50.22451974627822;0.0;21.750833378849883;Gams_optimisation_COUENNE.opt;FEASIBLE
WA35;1246802.8852119215;0.20739086771906345;9001.536049802758;965.3315020877617;1389.9736491419796;0.25548929841850515;396.89086513862753;12.261059349177458;123.93761243295275;Gams_optimisation_COUENNE.opt;FEASIBLE
WA36;0.0;0.8999999999999999;986.265709347737;8876.391384129633;0.0;0.7;40.18459485975913;93.7640546727713;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA37;0.0;0.9000000000000001;25.053966031987912;225.48569428789128;0.0;0.7;0.9395216439264;2.1922171691615997;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA38;0.0;0.9;497.34382895989876;4476.094460639089;0.0;0.7;72.2747445192108;168.6410705448252;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA39;-789.4438999999996;0.8999999999999999;698.605923893209;6287.453315038882;0.0;0.7;119.37864532784526;278.5501724316389;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA40;-789.4438999999998;0.9;1109.572218133369;9986.149963200325;0.0;0.7;36.289946546231945;84.67654194120786;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA41;0.0;0.9;374.18776826863274;3367.6899144176955;0.0;0.7;10.795420587882571;25.189314705059328;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA42;0.0;0.9;154.955730877816;1394.6015779003444;0.0;0.7;4.444358106144001;10.370168914335999;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA43;155191.11061871552;1.7501309037127607e-16;10393.447711179877;1.8189894035458565e-12;0.0;0.3919339501682351;41.94537957722744;0.0;27.036237779690563;Gams_optimisation_COUENNE.opt;FEASIBLE
WA44;101114.9725081868;0.0;3482.9757226017005;0.0;0.0;0.0;86.97763415932499;0.0;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA45;61758.09082108867;0.19599999999999984;213.78889765474955;52.11769146807325;0.0;0.31778483884358816;23.870392273519414;7.085381138692465;4.033763075158323;Gams_optimisation_COUENNE.opt;FEASIBLE
WA46;7.089662425897842e-05;0.9000000000000001;334.2049147144259;3007.8442324298344;0.0;0.6999999999999998;41.089871429838006;95.87636666962199;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA47;-7464.394583826261;0.9042120013958395;617.0870081460847;5797.994690614128;27.13462414437375;0.7112464501656172;22.007672689838238;53.35127790367479;0.8571606974509687;Gams_optimisation_COUENNE.opt;FEASIBLE
WA48;0.0;0.9;756.4209016783623;6807.7881151052625;0.0;0.7;106.52475476445031;248.55776111705066;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA49;80065.30901975883;0.025999999999999995;1630.7136626961928;43.530344178748464;0.0;0.33844537839229744;33.32782763562824;8.977367386892432;8.072848674967725;Gams_optimisation_COUENNE.opt;FEASIBLE
WA50;0.0;0.9;138.11236395949996;1243.0112756355;0.0;0.7;21.3420396730992;49.7980925705648;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA51;0.0;0.9;1.3083201249398597;11.77488112445874;0.0;0.6999999999999998;0.05466466391430001;0.1275508824667;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
